object_id,Z,EBV,English Translation,split,target,Flux_mean,Flux_std,Flux_min,Flux_max,Flux_median,Flux_skew,Flux_err_mean,Flux_err_std,Flux_Ratio_mean,Flux_Ratio_skew,u_Flux_mean,u_Flux_std,u_Flux_max,u_Flux_min,g_Flux_mean,g_Flux_std,g_Flux_max,g_Flux_min,r_Flux_mean,r_Flux_std,r_Flux_max,r_Flux_min,i_Flux_mean,i_Flux_std,i_Flux_max,i_Flux_min,z_Flux_mean,z_Flux_std,z_Flux_max,z_Flux_min,y_Flux_mean,y_Flux_std,y_Flux_max,y_Flux_min
Dornhoth_fervain_onodrim,3.049,0.11,Trawn Folk (Dwarfs) + northern + Ents (people) ,split_01,0,0.9284827061538462,4.803444635408017,-2.75628465,25.04734337,-0.36783976,3.716601097986127,0.512436326,0.523058304977053,4.149514498537009,3.607913197963635,0.584014802,1.1433333640274184,2.62629444,0.00043537,-0.374378625,0.6792117865902414,0.98480425,-0.85507366,1.07451512,3.237376957399469,10.49938934,-1.32745285,2.1115269619999997,6.3330460765026615,22.95132322,-2.20836619,1.2693932358333333,7.572197608513322,25.04734337,-2.57110113,-0.40184468545454544,2.5832681310817223,5.86625017,-2.75628465
Dornhoth_galadh_ylf,0.4324,0.058,Trawn Folk (Dwarfs) + tree + drinking vessel ,split_01,0,0.38862155808383236,1.3714808590650236,-1.74708161,11.37549944,0.09423679,4.429631594792304,0.5308325878443114,0.5296687748757993,1.0248836090328488,3.605561920846898,0.027015419333333335,0.5642200451793207,1.06051365,-0.7992538,0.1801970075,0.3621635656321477,1.25000955,-0.28106908,0.27468459942857143,0.6575252631096373,2.62082436,-0.37188772,0.35359174918918923,0.9678192914842448,5.19313886,-0.37386132,0.5268137368571428,1.4903988907685448,7.22963913,-1.08668705,0.7060717344827586,2.500888195680482,11.37549944,-1.74708161
Elrim_melethril_thul,0.4673,0.577,Elves +  lover (fem.)  + breath,split_01,0,1.6913472105714287,2.6409384093815387,-6.40081627,6.61791528,1.07672354,-0.3662330831599257,0.31484820799999996,0.2589426368635865,6.251681172418941,-0.13920420980182252,0.006053633999999991,0.3277046210022534,0.36762412,-0.42798406,0.5429704288888888,0.43293441430235274,1.25593369,0.03802863,1.300821968,0.9711568234868646,2.75107717,0.48957667,2.6038305216666666,2.8859275982935757,4.93863344,-2.98674049,4.010965365,1.9506488357428646,6.61791528,1.20444917,0.032667224999999966,9.09831961193246,6.46615072,-6.40081627
Ithil_tobas_rodwen,0.6946,0.012,moon +  roof  +  noble maiden,split_01,0,0.375365816065163,0.8597592272776697,-7.64181817,5.35382124,0.32739132,-1.1604852738706193,0.4185316946365915,0.46621022653178706,1.6571847374099267,1.4667837828029746,0.15298032250000002,0.4412873625697149,1.60790434,-1.45530086,0.27850737850746266,0.3491503279725284,1.36933772,-0.45822581,0.43487118557046983,0.5235337826856995,1.86556998,-0.70087862,0.44572771975,0.6290632894811954,2.21872424,-0.75882268,0.5311518760606061,0.7071604553988865,2.98638145,-1.24852687,0.3432675497391304,1.806048691513174,5.35382124,-7.64181817
Mirion_adar_Druadan,0.4161,0.058," jewel, Silmaril  + father + Wild Man ",split_01,0,0.23383157178294572,1.146553675620301,-3.06039909,5.38446301,0.30884466,0.45348004886918514,0.4315912024806202,0.42980879054852766,0.888451595992433,0.5684013906538931,-0.014067412307692314,0.4230085291328008,0.53041503,-0.82885993,0.04620258357142859,0.8041147796617708,1.48095393,-1.09825152,0.20959432787878787,1.078680133531313,2.34593682,-1.59706067,0.3839420996428572,1.3502205870872486,5.38446301,-1.28105784,0.29631036703703706,1.0990483709503651,2.70171627,-2.36762958,0.28806724499999997,1.7043478962752368,2.37051937,-3.06039909
Mirion_lalaith_neledh,1.197,0.054," jewel, Silmaril  + laughter + enter, go in ",split_01,0,1.0243888689075633,1.1678274285355028,-6.35179869,4.50454881,0.84678859,-1.7226653737371949,0.5208449340336134,0.5554098703002833,3.7491683211232827,1.1680818176952528,0.4222991875,0.30791847949532253,0.78536376,-0.02385627,0.8061294192307693,0.37158518473482754,1.32760011,0.24741675,0.94779748875,0.5597363475954379,2.46754459,0.1381544,1.2010173661538461,0.9819212678290046,3.00878969,-0.75892018,1.3976030425,0.9485047957663563,3.22094153,-0.11313798,0.926808372,2.296514092338357,4.50454881,-6.35179869
Rochirrim_lebdas_pethron,0.1806,0.153,Horse.Lords (People)  +   index finger  + narrator,split_01,0,0.2597588066666667,0.5782337637444992,-1.63261102,1.91451153,0.14797833999999999,0.8957826497895208,0.38800167536231883,0.3204125552912081,1.0249604323944994,2.128942850149453,0.04886889090909092,0.3604125455165098,0.6327496,-0.50877179,0.048979456666666664,0.14130493332978025,0.37512773,-0.11427171,0.23254963962962963,0.34476253089877107,0.98646424,-0.24703178,0.3303330258333333,0.6783037327360347,1.91451153,-0.62644106,0.39498127352941176,0.6052930352957172,1.78036135,-0.59534116,0.198284878,0.8827891559916438,1.76660961,-1.63261102
acharn_lend_Mithrim,0.1887,0.051,"vengeance + journey, way + Sindar",split_01,0,2.414019052222222,2.327608483569167,-2.26514845,9.53701062,2.0930537850000004,0.5429779571598398,0.5046941926851852,0.47782673054257124,8.383082691929847,1.0736896176358859,1.2696756928571429,1.0868070500644542,2.40994838,-0.51046278,1.567693277777778,1.36081030576122,3.2747386,-0.948751,2.8058198100000005,2.141027792020694,7.75046833,-1.30130188,2.258867726190476,2.4397928579979484,6.50590459,-1.36501647,2.430216606153846,2.305912954630348,6.19442464,-1.48210084,2.8496799589473683,3.050443225253074,9.53701062,-2.26514845
achas_iar_gaur,1.238,0.046,achas + blood + werewolf,split_01,0,0.06854626734567904,0.7222002166266618,-4.26361499,2.48508022,0.097322115,-1.3887218903116956,0.44976567796296285,0.4288641399220437,0.8256726372573372,1.2816214001969173,0.089024425,0.15456520205636462,0.3804469,-0.10664489,0.013263633333333335,0.10442678440192513,0.18830926,-0.17784082,0.57064520225,0.33006339998586764,1.03553624,-0.47715486,0.010512790000000001,0.30841451471864323,0.62957255,-0.71823754,-0.0673650510526316,0.6789655562734627,2.48508022,-1.26309663,-0.44863991583333335,1.3446715246237582,2.1131147,-4.26361499
aduial_nur_luith,2.201,0.012,"evening, twilight  + race + spell",split_01,0,0.5112550545631067,0.8985348946039087,-1.84192211,2.9756288,0.27381419,0.6834239837861372,0.526484123106796,0.5216413348782973,1.592552388887281,1.344237518271956,0.396777506,0.47014351885698985,1.10195306,-0.13265055,0.22591839875000003,0.4597522347860725,1.26468814,-0.29130598,0.5454257563999999,0.746299526111402,1.9703033,-0.58222027,0.48195158782608694,0.7270933580015303,2.24867997,-0.55236219,0.43785781173913035,1.1224124856474005,2.72170012,-1.84192211,0.740882936842105,1.1874897018104162,2.9756288,-1.06396599
